"(0, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(5, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(0, 4)","(4, 4)","(5, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)"
19.027213177874145,16.91558117412956,16.81867013242796,16.70378303520208,16.82032021611218,18.452039644852267,16.873349740708214,16.71960471018886,15.923260645295723,16.466875304528763,16.978788142484017,15.591872152290835,15.565996122074225,15.769600547237392,15.361160278715237,15.402360624936488,15.556506785460217,14.433577454216612,13.560573797300695,14.58563798513198,15.217485406878588,15.009788307581173,14.290602254725194,14.092785551367486,14.785808346842014,12.888467036377667,11.656122786318724,10.577365518469616,11.590974475442115,12.620970213839726,13.603574437401862
19.836941046095404,17.631831169259808,17.533591436905258,17.419042652130855,17.535579833040956,19.261766386046812,17.683072366129903,17.444004718125004,16.627461228361085,17.18213492145754,17.788510767905706,16.4015860011449,16.29671272772287,16.473010914752372,16.042063096787682,16.082228638341352,16.366218548575347,15.243272885128729,14.296171257178296,15.288551494625763,15.89598614372107,15.666381067810361,15.10029262052008,14.766229238170581,15.44173313552703,13.698071378189296,12.46557820450222,11.275967619421413,12.240821355498602,13.273692775177791,14.256590131171793
20.63857163563445,18.34078712406411,18.24135449991514,18.127149672890347,18.243686853800448,20.063396344973054,18.48470015610928,18.161153111908376,17.325602925676083,17.89024194221703,18.590138557885087,17.203208708055925,17.020236831428832,17.170488099488523,16.718282688412124,16.75731705559337,17.167840180118024,16.044886120212762,15.024647093952208,15.985648227172916,16.56985229633702,16.318646021318777,15.901903029334651,15.43520930082315,16.093362080701873,14.499633064138363,13.267057016017361,12.0553795266112,12.886447306329535,13.92217166320955,14.905350651066017
21.4321859192781,19.042535423032724,18.94203218739231,18.82817562344224,18.944712804352342,20.857010289029635,19.27831288277101,18.87112340735553,18.01764993447642,18.591267892768926,19.38375128454682,17.996818779200872,17.736629248578332,17.86199094959971,17.38973259957551,17.42755979761245,17.961449641577737,16.838490810652075,15.746050470882818,16.676882014433545,17.239005019823082,16.966584883377703,16.695506222461738,16.099651585469896,16.74069621565545,15.29320951716846,14.060586675969022,12.844474302954769,13.52787652391521,14.566418431083525,15.549867477029165
22.217864060085322,19.737160248473998,19.63569658510692,19.522191314488623,19.638728495398723,21.64268824207652,20.063990183446688,19.573988373949412,18.70907805325607,19.285283583815307,20.16942858522249,18.782494583009967,18.445951901776837,18.547488571072556,18.056333742837808,18.09289564370232,18.74712512213183,17.62416376552501,16.5058700142631,17.362217325662854,17.903371441747115,17.610192572948662,17.481178348176993,16.759486408011288,17.38372965994655,16.078866751310308,14.846218099439284,13.629190559352509,14.165122949153364,15.206435973445886,16.190143707702273
22.99568541948447,20.42474374331592,20.322963605989344,20.209266848624537,20.325804029534638,22.420509499714377,20.84181107960381,20.270364672224982,19.396495271698022,19.97235911795122,20.947249481379615,19.560314680444414,19.148267124422105,19.23131609699566,18.718014361590257,18.753268463847178,19.52494503937424,18.401982273233372,17.273568071983764,18.046125852434475,18.562884904290087,18.24945842283658,18.258996409667454,17.41464857259154,18.022450908503167,16.85667665198039,15.624013650726743,14.40678446550771,14.79819163490151,15.842220132264458,16.826175279111336
23.765728565289624,21.105420072287426,21.003623473597255,20.88947162741909,21.00600880832919,23.1905525895842,21.611853974018562,20.95998937348509,20.07780631039194,20.652563896745775,21.717292375794365,20.330357131183536,19.844500267368755,19.91078612230006,19.375141245902924,19.408627310917478,20.294987393200806,19.172023869598497,18.035131644845013,18.729011193471674,19.21793021763132,18.884367288749257,19.029037760298554,18.065077692826126,18.656843919514948,17.62671349642463,16.394042611212367,15.176762135546108,15.427080288463948,16.47376082283692,17.45795226526071
24.52807127963673,21.779288008294223,21.67755424586657,21.562874358425702,21.679411539335803,23.95289527350606,22.374196550365696,21.64276906540828,20.75261156379285,21.325966627752386,22.4796349521415,21.092699468147227,20.53418476589507,20.584367107644315,20.027733796643652,20.059268054119123,21.05732967664627,19.93436573449246,18.789326464031173,19.407395733246805,19.868836336494986,19.51490054450222,19.79137949195415,18.71107097198577,19.286889132311174,18.38905276081252,17.156377526188358,15.939080650918324,16.051780468802704,17.101043207137124,18.085459979977504
25.28279056684036,22.446423485730943,22.344782517725307,22.229543062122247,22.346080243032347,24.707614544035597,23.12891576244958,22.31875010587072,21.420765645017234,21.99263533144893,23.234354164225383,21.847418548297025,21.217102690806723,21.25169829621527,20.675685047956353,20.70521101699498,21.8120487277988,20.689084558965174,19.536045273480724,20.079976866506385,20.515272498438925,20.141070792702358,20.546098243310766,19.352916428829428,19.912599281571158,19.143770156040773,17.91109253674881,16.693788969623007,16.67227875287554,17.724083607875347,18.708680008314797
26.029962661171957,23.106896795041077,23.00535666881042,22.889545078781826,23.006082259691926,25.4547866292796,23.87608781564011,22.987985860038123,22.082279813376353,22.65263734810851,23.981526217415915,22.594590529886563,21.89326265145633,21.91263237699119,21.318876579989247,21.34637946427241,22.559220693456137,21.436256400035607,20.275316619164876,20.74642551002254,21.157026276243098,20.762891287378316,21.29327004459218,19.990381874093288,20.534014123149923,19.890941215288294,18.65826228586056,17.440955505090415,17.28858541050663,18.342897570219094,19.327622229007183
26.76966303456024,23.760775354593836,23.659338273409027,23.54294707527481,23.65948425618491,26.194486997695243,24.615788166596584,23.650540656945164,22.737198783365887,23.306039344601487,24.72122656837239,23.3342908415453,22.56269986893109,22.567167396107184,21.95719242363658,21.98268758626468,23.298920996449088,22.175956635279555,21.0072044166197,21.406606789222412,21.79397261429417,21.380368864758438,22.032970258046515,20.62328001451161,21.151125103330706,20.630641021930742,19.39796137510872,18.180652920409464,17.900714786893833,18.957471470360613,19.94232064565814
27.501966404214638,24.408125330010602,24.306791249459035,24.189815051802864,24.306352232712964,26.926790364636602,25.34809152398068,24.306479788884605,23.385582117130745,23.952907321129548,25.453529925756484,24.066594177536672,23.225472565828163,23.215330773389983,22.590532042774985,22.614050812246806,24.03122432769207,22.90825992939334,21.731778179410934,22.06051310377736,22.426006989264277,21.99349959715863,22.765273540280884,21.251492417187375,21.763918247555075,21.362944081679746,20.130264041640675,18.91295468732718,18.508658932330583,19.567812348363596,20.552770501323778
28.226946740172494,25.049012002735893,24.947780224660786,24.830214348565633,24.946751529475733,27.651770699111104,26.073071853242407,24.95586895183843,24.027492798267076,24.593306617892317,26.178510255018214,24.79157449508316,23.88164256293835,23.857165493019263,23.21881015485583,23.240395662788316,24.756204642650594,23.63324022411819,22.449109687858193,22.708162704223714,23.05304863527045,22.60227061787002,23.490253828507733,21.87492319130681,22.372377336759136,22.08792424811118,20.85524399293521,19.637934149070198,19.112421848505424,20.173905408837978,21.15896095418267
